
John Travolta
Paula Jones
Shroud of Turin
Frank Sinatra
Jim Carrey
Michael Jordan
Ken Griffey, Jr.
Escherichia coli
Monica Lewinsky
John Glenn
Bill Clinton
The Clintons
Boris Yeltsin
Oprah Winfrey
Tom Wolfe
Newt Gingrich
Moses
Bill Clinton
Kenneth Starr
Bill Clinton
Lauryn Hill
Alan Greenspan
Abdullah Öcalan
Monica Lewinsky
Bill Gates
Slobodan Milosevic
Star Wars
Columbine High School Massacre
Madeleine Albright
Ricky Martin
George W. Bush
Nicole Kidman
John F. Kennedy, Jr.
John F. Kennedy, Jr.
Harry Potter
Bill Bradley
Steve Jobs
Bill Gates
John McCain
Jeff Bezos
Albert Einstein
Steve Case
George W. Bush
John McCain
Leonardo DiCaprio
George W. Bush
Amadou Diallo
Katie Couric
Stephen King
John Paul II
Tiger Woods
Joe Lieberman
Kofi Annan
Marion Jones
Shawn Fanning
George W. Bush
George W. Bush
George W. Bush
George W. Bush
George W. Bush
George W. Bush
John Ashcroft
Bill Clinton
Dale Earnhardt
Bob Kerrey
Timothy McVeigh
George W. Bush
Erik Weihenmayer
Julia Roberts
James Thomson (cell biologist)
Venus Williams
Colin Powell
Björk
George W. Bush
Osama bin Laden
George W. Bush
Osama bin Laden
Osama bin Laden
George Harrison
Rudy Giuliani
Steve Jobs
Sarah Hughes
Jamie Sale
Bono
Yasser Arafat
Saddam Hussein
Spider-Man
George W. Bush
Tom Cruise
Bruce Springsteen
Saddam Hussein
George W. Bush
Osama bin Laden
Trent Lott
Kim Jong-il
Donald Rumsfeld
George W. Bush
Saddam Hussein
Tommy Franks
Laura J. Richardson
Franklin D. Roosevelt
Hillary Clinton
Benjamin Franklin
Howard Dean
Arnold Schwarzenegger
Johnny Cash
Ronald Reagan
Russell Crowe
Jessica Lynch
George W. Bush
Howard Dean
Ronald Reagan
Bill Clinton
Thomas Jefferson
Michael Moore
John Edwards
John Kerry
Michael Phelps
George W. Bush
George W. Bush
George W. Bush
George W. Bush
John Paul II
Ann Coulter
Benedict XVI
Bill Gates
Abraham Lincoln
Karl Rove
Kanye West
Steve Jobs
Steven Spielberg
Bill Gates
Jack Abramoff
Bode Miller
Bill Ford
Larry Page
Dick Cheney
Michael Hayden (general)
Abu Mousab al-Zarqawi
Theodore Roosevelt
Hillary Clinton
Doutzen Kroes
George W. Bush
Benedict XVI
George W. Bush
Person of the Year
Haji Bashar Noorzai
Dick Cheney
Ronald Reagan
Don Imus
Mitt Romney
Al Gore
Michael Bloomberg
John F. Kennedy
Rupert Murdoch
Mother Teresa
Hilary Rhoda
David Petraeus
John Roberts
Hillary Clinton
Barack Obama
Vladimir Putin
Benazir Bhutto
John McCain
Hillary Clinton
George Clooney
Barack Obama
Hillary Clinton
Dalai Lama VII
Benedict XVI
Ann Dunham
Barack Obama
Barack Obama
Mark Twain
Nelson Mandela
LeBron James
Barack Obama
Rick Warren
Barack Obama
John McCain
Sarah Palin
Barack Obama
Tom Ford
John McCain
Barack Obama
Barack Obama
Sylvia Tamburo 
Barack Obama
Barack Obama
Michelle Rhee
Barack Obama
Barack Obama
Barack Obama
Kate Winslet
Arlenis Sosa
Barack Obama
Michelle Obama
Sonia Sotomayor
Mousavi
Franklin D. Roosevelt
Michael Jackson
Sarah Palin
Buzz Aldrin
Apollo 11
Dick Cheney
Barack Obama
Ted Kennedy
Jay Leno
Glenn Beck
Hillary Clinton
Nidal Malik Hasan
Ben Bernanke
2010 Haiti earthquake
Barack Obama
Robert Gates
Tom Hanks
Pope Benedict XVI
Steve Jobs
Barack Obama
Benigno Aquino III
Didier Drogba
Elizabeth Warren
Pope Benedict XVI
Thomas Edison
David Cameron
Bibi Aisha
Jonathan Franzen
Tony Blair
Wen Jiabao
Meg Whitman
John Boehner
Aung San Suu Kyi
Julian Assange
Sarah Palin
Mark Zuckerberg
Aung San Suu Kyi
Jared Lee Loughner
2011 Tucson shooting
Barack Obama
Cairo
Muammar Gaddafi
Muammar Gaddafi
Abraham Lincoln
Robert Mueller
Prince William, Duke of Cambridge
Wedding of Prince William and Catherine Middleton
Osama Bin Laden
Death of Osama Bin Laden
Rubik's cube
Mehmet Oz
Mitt Romney
Rupert Murdoch
