,name,year
324,Cyrus Vance,1979
325,Luciano Pavarotti,1979
326,Henry Kissinger,1979
327,José López Portillo,1979
328,John Paul II,1979
329,Paul Volcker,1979
330,David C. Jones,1979
331,Edward Kennedy,1979
332,Ruhollah Khomeini,1979
333,Mohammad Reza Shah,1979
334,Ruhollah Khomeini,1980
335,Jimmy Carter,1980
336,Eric Heiden,1980
337,Dan Rather,1980
338,Peter Sellers,1980
339,Ronald Reagan,1980
340,Jimmy Carter,1980
341,Interferon,1980
342,Thornton Wilson,1980
343,Jimmy Carter,1980
344,Jimmy Carter,1980
345,Edmund Muskie,1980
346,Darth Vader,1980
347,Pablo Picasso,1980
348,Björn Borg,1980
349,Ronald Reagan,1980
350,Billy Carter,1980
351,Larry Hagman,1980
352,Jimmy Carter,1980
353,Jimmy Carter,1980
354,Thomas Murphy,1980
355,Bear Bryant,1980
356,Jimmy Carter,1980
357,Carl Sagan,1980
358,Jimmy Carter,1980
359,Ronald Reagan,1980
360,Jane Pauley,1980
361,John Lennon,1980
362,Lech Walesa,1980
363,Ronald Reagan,1981
364,Brooke Shields,1981
365,Margaret Thatcher,1981
366,Herbert Boyer,1981
367,Alexander Haig,1981
368,Ronald Reagan,1981
369,"Diana, Princess of Wales",1981
370,Billy Martin,1981
371,Menachem Begin,1981
372,Pope John Paul II assassination attempt,1981
373,Ed Koch,1981
374,Operation Opera,1981
375,François Mitterrand,1981
376,Sandra Day O'Connor,1981
377,Caspar Weinberger,1981
378,"Charles, Prince of Wales",1981
379,James Rouse,1981
380,John Irving,1981
381,Meryl Streep,1981
382,Jesse Helms,1981
383,Ronald Reagan,1981
384,Nicholas Nickelby,1981
385,Anwar Sadat,1981
386,Ronald Reagan,1981
387,Katharine Hepburn,1981
388,Muammar Gaddafi,1981
389,Wojciech Jaruzelski,1981
390,Lech Walesa,1982
391,Joe Montana,1982
392,Franklin D. Roosevelt,1982
393,Steve Jobs,1982
394,Jaclyn Smith,1982
395,Henry Kissinger,1982
396,Paul Volcker,1982
397,Giorgio Armani,1982
398,Howard Baker,1982
399,John Paul II,1982
400,Gerry Cooney,1982
401,George Shultz,1982
402,Ayatullah Khomeini,1982
403,Ted Turner,1982
404,James G. Watt,1982
405,Menachem Begin,1982
406,Ariel Sharon,1982
407,Jimmy Carter,1982
408,John Updike,1982
409,John De Lorean,1982
410,Yuri Andropov,1982
411,Joseph Bernardin,1982
412,Paul Newman,1982
413,Ronald Reagan,1982
414,Miguel de la Madrid,1982
415,James Levine,1983
416,Pershing II,1983
417,Robert Mitchum,1983
418,Menachem Begin,1983
419,Princess Diana,1983
420,Franklin C. Spinney,1983
421,John Paul II,1983
422,Lee Iacocca,1983
423,Ronald Reagan,1983
424,Claude Pepper,1983
425,Nastassja Kinski,1983
426,George Lucas,1983
427,Margaret Thatcher,1983
428,John Paul II,1983
429,David Bowie,1983
430,William P. Clark,1983
431,Jesse Jackson,1983
432,Ben Colli,1983
433,Peter Ueberroth,1983
434,Ronald Reagan,1983
435,John F. Kennedy,1983
436,George Orwell,1983
437,Hafez Assad,1983
438,Ronald Reagan,1984
439,John Paul II,1984
440,Arthur Rock,1984
441,Phil Mahre,1984
442,Ronald Reagan,1984
443,Yuri Andropov,1984
444,Konstantin Chernenko,1984
445,Martin Feldstein,1984
446,Gary Hart,1984
447,Michael Jackson,1984
448,Alexander Haig,1984
449,Bill Gates,1984
450,Jesse Jackson,1984
451,Shirley MacLaine,1984
452,Geraldine Ferraro,1984
453,Walter Mondale,1984
454,Andrei A. Gromyko,1984
455,Erma Bombeck,1984
456,Shimon Peres,1984
457,Geraldine Ferraro,1984
458,Carl Lewis,1984
459,Carl Lewis,1984
460,Ronald Reagan,1984
461,Geraldine Ferraro,1984
462,Brian Mulroney,1984
463,Andrei A. Gromyko,1984
464,Ronald Reagan,1984
465,Ronald Reagan,1984
466,Indira Gandhi,1984
467,Ronald Reagan,1984
468,William DeVries,1984
469,David Lean,1984
470,Peter Ueberroth,1985
471,Nancy Reagan,1985
472,Donald Regan,1985
473,John Paul II,1985
474,T. Boone Pickens,1985
475,Larry Bird,1985
476,Mikhail Gorbachev,1985
477,Lee Iacocca,1985
478,Bernhard Goetz,1985
479,Ronald Reagan,1985
480,Madonna,1985
481,Steven Spielberg,1985
482,Pete Rose,1985
483,Jerry Falwell,1985
484,Mikhail Gorbachev,1985
485,Philip Michael Thomas,1985
486,Deng Xiaoping,1985
487,Ronald Reagan,1985
488,Toxic Waste,1985
489,Ronald Reagan,1985
490,Garrison Keillor,1985
491,Prince Charles,1985
492,Ronald Reagan,1985
493,Ronald Reagan,1985
494,Teenage Pregnancy,1985
495,Deng Xiaoping,1986
496,Donald Burr,1986
497,William Perry,1986
498,Corazon Aquino,1986
499,Pat Robertson,1986
500,Corazon Aquino,1986
501,Michael Deaver,1986
502,Corazon Aquino,1986
503,Daniel Ortega,1986
504,Dwight Gooden,1986
505,Muammar Gaddafi,1986
506,Vladimir Horowitz,1986
507,Molly Ringwald,1986
508,Mario Cuomo,1986
509,William Rehnquist,1986
510,Ronald Reagan,1986
511,Sigourney Weaver,1986
512,Andrew Wyeth,1986
513,Ralph Lauren,1986
514,Derek Bok,1986
515,Laurence Tisch,1986
516,John Gotti,1986
517,Stephen King,1986
518,Ronald Reagan,1986
519,David Byrne,1986
520,Ivan Boesky,1986
521,Neil Simon,1986
522,Oliver North,1986
523,Corazon Aquino,1987
524,Adnan Khashoggi,1987
525,Oliver Stone,1987
526,Dennis Conner,1987
527,Bette Midler,1987
528,Ronald Reagan,1987
529,Howard Baker,1987
530,Jimmy Swaggart,1987
531,U2,1987
532,Gary Hart,1987
533,Alan Greenspan,1987
534,Chun Doo Hwan,1987
535,Oliver North,1987
536,Oliver North,1987
537,Mikhail Gorbachev,1987
538,Khomeini,1987
539,Steve Martin,1987
540,Robert Bork,1987
541,Bill Cosby,1987
542,Glenn Close,1987
543,Shirley Maclaine,1987
544,Mikhail Gorbachev,1987
545,Gary Hart,1987
546,Mikhail Gorbachev,1988
547,Andrew Lloyd Webber,1988
548,Dan Rather,1988
549,Debi Thomas,1988
550,Manuel Noriega,1988
551,George H.W. Bush,1988
552,Jesse Jackson,1988
553,Michael Eisner,1988
554,Michael Dukakis,1988
555,Nancy Reagan,1988
556,Raisa Gorbachev,1988
557,Ronald Reagan,1988
558,Mike Tyson,1988
559,Edward James Olmos,1988
560,Lloyd Bentsen,1988
561,George H.W. Bush,1988
562,George H.W. Bush,1988
563,Jackie Joyner-Kersee,1988
564,John Sasso,1988
565,Enrique Camarena,1988
566,George H.W. Bush,1988
567,Ross Johnson,1988
568,Ronald Reagan,1988
569,Yasser Arafat,1988
570,Earth,1989
571,Gene Hackman,1989
572,Donald Trump,1989
573,Barbara Bush,1989
574,George H.W. Bush,1989
575,James Baker,1989
576,Khomeini,1989
577,John Tower,1989
578,Eduard Shevardnadze,1989
579,Kevin Costner,1989
580,Pete Rose,1989
581,Joseph Hazelwood,1989
582,Diane Sawyer,1989
583,Joseph Cicippio,1989
584,George H.W. Bush,1989
585,The Rolling Stones,1989
586,George Washington,1989
587,1989 Loma Prieta earthquake,1989
588,Arsenio Hall,1989
589,The Berlin Wall,1989
590,George H.W. Bush,1989
591,Tom Cruise,1989
592,Mikhail Gorbachev,1990
593,Joe Foss,1990
594,Nelson Mandela,1990
595,Michael Milken,1990
596,Richard Nixon,1990
597,Dan Quayle,1990
598,Andrei Sakharov,1990
599,John H. Sununu,1990
600,Mikhail Gorbachev,1990
601,Scott Turow,1990
602,Nelson Mandela,1990
603,Helmut Kohl,1990
604,David Souter,1990
605,Saddam Hussein,1990
606,Saddam Hussein,1990
607,Saddam Hussein,1990
608,King Fahd,1990
609,David Lynch,1990
610,Wynton Marsalis,1990
611,Ronald Reagan,1990
612,Dick Cheney,1990
613,Margaret Thatcher,1990
614,Bart Simpson,1990
615,George H.W. Bush,1991
616,Saddam Hussein,1991
617,Norman Schwarzkopf,1991
618,Boris Yeltsin,1991
619,Nancy Reagan,1991
620,Katie Koestner,1991
621,Geena Davis,1991
622,Saddam Hussein,1991
623,John McCarthy,1991
624,Boris Yeltsin,1991
625,Lamar Alexander,1991
626,Jodie Foster,1991
627,Anita Hill,1991
628,Oliver North,1991
629,Terry A. Anderson,1991
630,Mikhail Gorbachev,1991
631,Ted Turner,1992
632,Bill Clinton,1992
633,Ronald Reagan,1992
634,Susan Faludi,1992
635,Jay Leno,1992
636,Bill Clinton,1992
637,Garth Brooks,1992
638,Bill Clinton,1992
639,Roe v. Wade,1992
640,Roger Keith Coleman,1992
641,Ross Perot,1992
642,Sam Walton,1992
643,Ross Perot,1992
644,Bill Clinton,1992
645,Kim Zmeskal,1992
646,George H.W. Bush,1992
647,Woody Allen,1992
648,Hillary Clinton,1992
649,Candice Bergen,1992
650,George H.W. Bush,1992
651,Bill Clinton,1992
652,Bill Clinton,1992
653,Bill Clinton,1992
654,Princess Diana,1992
655,Bill Clinton,1993
656,Rita Collins,1993
657,Bill Clinton,1993
658,Zoe Baird,1993
659,Bill Clinton,1993
660,Bill Clinton,1993
661,David Koresh,1993
662,Boris Yeltsin,1993
663,David Koresh,1993
664,Hillary Clinton,1993
665,Jack Kevorkian,1993
666,Janet Reno,1993
667,David Letterman,1993
668,Yitzhak Rabin,1993
669,Michael Durant,1993
670,Eddie Vedder,1993
671,Howard Stern,1993
672,Billy Graham,1993
673,Fidel Castro,1993
