Unnamed: 0,name,year,decade
237,Alex Haley,1977,1970s
238,Andrei Sakharov,1977,1970s
239,Linda Ronstadt,1977,1970s
240,Idi Amin,1977,1970s
241,Marabel Morgan,1977,1970s
242,Jiang Qing,1977,1970s
243,Lily Tomlin,1977,1970s
244,James Schlesinger,1977,1970s
245,Jimmy Carter,1977,1970s
246,Uncle Sam,1977,1970s
247,Richard Nixon,1977,1970s
248,Harold Brown,1977,1970s
249,Menachem Begin,1977,1970s
250,Jody Powell,1977,1970s
251,Peter Frampton,1977,1970s
252,James Earl Ray,1977,1970s
253,Adolfo Suárez,1977,1970s
254,Rod Carew,1977,1970s
255,Jimmy Carter,1977,1970s
256,Arthur Ochs Sulzberger,1977,1970s
257,Panama Canal,1977,1970s
258,Fred Silverman,1977,1970s
259,Bert Lance,1977,1970s
260,Diane Keaton,1977,1970s
261,John le Carré,1977,1970s
262,Jimmy Carter,1977,1970s
263,Mstislav Rostropovich,1977,1970s
264,Hanns Martin Schleyer,1977,1970s
265,Richard Leakey,1977,1970s
266,John Vorster,1977,1970s
267,Anwar Sadat,1977,1970s
268,Dixy Lee Ray,1977,1970s
269,Jesus,1977,1970s
270,Anwar Sadat,1978,1970s
271,Burt Reynolds,1978,1970s
272,Super Bowl XII,1978,1970s
273,Robert Byrd,1978,1970s
274,Michael Blumenthal,1978,1970s
275,Stansfield Turner,1978,1970s
276,Pierre Trudeau,1978,1970s
277,Muhammad Ali,1978,1970s
278,Cheryl Tiegs,1978,1970s
279,Menachem Begin,1978,1970s
280,John Travolta,1978,1970s
281,Saul Steinberg,1978,1970s
282,Cyrus Vance,1978,1970s
283,Gelsey Kirkland,1978,1970s
284,"Charles, Prince of Wales",1978,1970s
285,Steve Cauthen,1978,1970s
286,Joseph Califano,1978,1970s
287,Howard Jarvis,1978,1970s
288,Warren Beaty,1978,1970s
289,G. William Miller,1978,1970s
290,Nathan Sharansky,1978,1970s
291,Sebastiano Baggio,1978,1970s
292,Mario Puzo,1978,1970s
293,John Paul I,1978,1970s
294,Menachem Begin,1978,1970s
295,Menachem Begin,1978,1970s
296,Jimmy Carter,1978,1970s
297,John Paul I,1978,1970s
298,John Paul II,1978,1970s
299,Pat Benedict,1978,1970s
300,Letitia Baldrige,1978,1970s
301,Michel Bergerac,1978,1970s
302,Jimmy Carter,1978,1970s
303,Teng Hsiao-ping,1979,1970s
304,Philip Johnson,1979,1970s
305,Leonid Brezhnev,1979,1970s
306,Teng Hsiao-ping,1979,1970s
307,Ruhollah Khomeini,1979,1970s
308,Albert Einstein,1979,1970s
309,Iran,1979,1970s
310,Sino-Vietnamese War,1979,1970s
311,Robin Williams,1979,1970s
312,Jimmy Carter,1979,1970s
313,Homosexuality in America,1979,1970s
314,Woody Allen,1979,1970s
315,Margaret Thatcher,1979,1970s
316,Russell Baker,1979,1970s
317,Helmut Schmidt,1979,1970s
318,John Paul II,1979,1970s
319,Jimmy Carter,1979,1970s
320,Jimmy Carter,1979,1970s
321,Diane Lane,1979,1970s
322,Ansel Adams,1979,1970s
323,John Connally,1979,1970s
324,Cyrus Vance,1979,1970s
325,Luciano Pavarotti,1979,1970s
326,Henry Kissinger,1979,1970s
327,José López Portillo,1979,1970s
328,John Paul II,1979,1970s
329,Paul Volcker,1979,1970s
330,David C. Jones,1979,1970s
331,Edward Kennedy,1979,1970s
